Products for S region : 
ProductMessage{product=Product{PRODUCT_ID=988765, MANUFACTURER_ID=19965794, PRODUCT_CODE=HW, PURCHASE_COST=10.95, QUANTITY_ON_HAND=25, MARKUP=9.75, AVAILABLE=TRUE, DESCRIPTION= 104-Key Keyboard}, timestamp=Sun Apr 14 18:50:16 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=986710, MANUFACTURER_ID=19982461, PRODUCT_CODE=CB, PURCHASE_COST=15.98, QUANTITY_ON_HAND=400, MARKUP=30.0, AVAILABLE=TRUE, DESCRIPTION= Printer Cable}, timestamp=Sun Apr 14 18:50:17 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=986712, MANUFACTURER_ID=19989719, PRODUCT_CODE=HW, PURCHASE_COST=69.95, QUANTITY_ON_HAND=1000, MARKUP=10.5, AVAILABLE=TRUE, DESCRIPTION= 512X IDE DVD-ROM}, timestamp=Sun Apr 14 18:50:17 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=980025, MANUFACTURER_ID=19974892, PRODUCT_CODE=HW, PURCHASE_COST=2095.99, QUANTITY_ON_HAND=3000, MARKUP=15.75, AVAILABLE=TRUE, DESCRIPTION= 1Ghz Sun Blade Computer}, timestamp=Sun Apr 14 18:50:17 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=986420, MANUFACTURER_ID=19955656, PRODUCT_CODE=SW, PURCHASE_COST=49.95, QUANTITY_ON_HAND=0, MARKUP=5.25, AVAILABLE=FALSE, DESCRIPTION= Directory Server}, timestamp=Sun Apr 14 18:50:17 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=980005, MANUFACTURER_ID=19986982, PRODUCT_CODE=SW, PURCHASE_COST=11500.99, QUANTITY_ON_HAND=500, MARKUP=55.25, AVAILABLE=TRUE, DESCRIPTION= Accounting Application}, timestamp=Sun Apr 14 18:50:17 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=986712, MANUFACTURER_ID=19989719, PRODUCT_CODE=HW, PURCHASE_COST=69.95, QUANTITY_ON_HAND=1000, MARKUP=10.5, AVAILABLE=TRUE, DESCRIPTION= 512X IDE DVD-ROM}, timestamp=Sun Apr 14 18:50:20 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=980031, MANUFACTURER_ID=19986542, PRODUCT_CODE=SW, PURCHASE_COST=595.95, QUANTITY_ON_HAND=75, MARKUP=14.0, AVAILABLE=TRUE, DESCRIPTION= Sun Studio C++}, timestamp=Sun Apr 14 18:50:22 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=980500, MANUFACTURER_ID=19980198, PRODUCT_CODE=BK, PURCHASE_COST=29.95, QUANTITY_ON_HAND=1000, MARKUP=33.0, AVAILABLE=TRUE, DESCRIPTION= Learn NetBeans}, timestamp=Sun Apr 14 18:50:22 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=986712, MANUFACTURER_ID=19989719, PRODUCT_CODE=HW, PURCHASE_COST=69.95, QUANTITY_ON_HAND=1000, MARKUP=10.5, AVAILABLE=TRUE, DESCRIPTION= 512X IDE DVD-ROM}, timestamp=Sun Apr 14 18:50:23 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=964025, MANUFACTURER_ID=19963322, PRODUCT_CODE=SW, PURCHASE_COST=209.95, QUANTITY_ON_HAND=300, MARKUP=41.0, AVAILABLE=TRUE, DESCRIPTION= Jax WS Application Development Environment}, timestamp=Sun Apr 14 18:50:23 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=980032, MANUFACTURER_ID=19978451, PRODUCT_CODE=FW, PURCHASE_COST=39.95, QUANTITY_ON_HAND=50, MARKUP=25.5, AVAILABLE=TRUE, DESCRIPTION= Sound Card}, timestamp=Sun Apr 14 18:50:27 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=980500, MANUFACTURER_ID=19980198, PRODUCT_CODE=BK, PURCHASE_COST=29.95, QUANTITY_ON_HAND=1000, MARKUP=33.0, AVAILABLE=TRUE, DESCRIPTION= Learn NetBeans}, timestamp=Sun Apr 14 18:50:28 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=964025, MANUFACTURER_ID=19963322, PRODUCT_CODE=SW, PURCHASE_COST=209.95, QUANTITY_ON_HAND=300, MARKUP=41.0, AVAILABLE=TRUE, DESCRIPTION= Jax WS Application Development Environment}, timestamp=Sun Apr 14 18:50:29 CDT 2013, regionID=S}
ProductMessage{product=Product{PRODUCT_ID=986710, MANUFACTURER_ID=19982461, PRODUCT_CODE=CB, PURCHASE_COST=15.98, QUANTITY_ON_HAND=400, MARKUP=30.0, AVAILABLE=TRUE, DESCRIPTION= Printer Cable}, timestamp=Sun Apr 14 18:50:29 CDT 2013, regionID=S}
